longitude,latitude,Planting Site Width,Planting Site Length,Genus,Species,Common Name,Diameter,Tree Height,Canopy Height
-75.2792175418,39.989608396,,,Quercus,palustris,Pin oak,40,,
-75.2878100053,39.9927618634,,,Quercus,palustris,Pin oak,38,,
-75.2526296197,40.0073019508,,,Platanus,occidentalis,American sycamore,32,,
-75.2551020064,40.0066142436,,,Platanus,occidentalis,American sycamore,32,,
-75.2858065809,40.0038535809,,,Platanus,occidentalis,American sycamore,27,,
-75.2855324416,40.0042552778,,,Platanus,occidentalis,American sycamore,37,,
-75.2887962435,40.0676960944,,,Fraxinus,pennsylvanica,Green ash,23,,
-75.2543360197,40.0338786454,,,Taxus,spp,Yew,6,,
-75.2547356842,40.0016634934,,,Platanus,occidentalis,American sycamore,56,,
-75.2795850302,39.9842231036,,,Prunus,subhirtella,Higan cherry,3,,
-75.2700846794,39.988525654,,,Fraxinus,pennsylvanica,Green ash,18,,
-75.2475271648,40.0358606256,,,Ulmus,pumila,Siberian elm,17,,
-75.3092498016,40.0524659506,,,Quercus,palustris,Pin oak,22,,
-75.309931152,40.0521573896,,,Quercus,palustris,Pin oak,36,,
-75.330660547,40.0303313985,,,Juniperus,virginiana,Eastern red cedar,25,,
-75.232569985,40.002892047,,,Quercus,palustris,Pin oak,37,,
-75.2835239263,40.0135913724,,,Juniperus,virginiana,Eastern red cedar,3,,
-75.2515734351,40.0186038156,,,Platanus,occidentalis,American sycamore,47,,
-75.323465811,40.0421740698,,,Quercus,palustris,Pin oak,25,,
-75.2755191449,40.059653364,,,Fraxinus,pennsylvanica,Green ash,7,,
-75.3345835515,40.0443778285,,,Fraxinus,pennsylvanica,Green ash,1,,
-75.2763698968,40.0600330908,,,Fraxinus,pennsylvanica,Green ash,23,,
-75.3094728162,40.0596481357,,,Taxus,spp,Yew,9,,
-75.3092744475,40.0597339543,,,Taxus,spp,Yew,1,,
-75.2512778343,40.0191508936,,,Prunus,subhirtella,Higan cherry,12,,
-75.297224765,40.0582289384,,,Taxus,spp,Yew,9,,
-75.2987846166,40.0505151767,,,Quercus,palustris,Pin oak,22,,
-75.2889981118,40.0466241702,,,Chamaecyparis,obtusa,Hinoki false cypress,3,,
-75.2937872449,40.0254892958,,,Prunus,subhirtella,Higan cherry,3,,
-75.2256775479,40.0106376231,,,Fraxinus,pennsylvanica,Green ash,23,,
-75.2547601632,40.0024084562,4,4,Quercus,palustris,Pin oak,25,,
-75.3021212957,40.0162300929,21,21,Fraxinus,pennsylvanica,Green ash,51,,
-75.2790282432,40.0038710839,5,5,Fraxinus,pennsylvanica,Green ash,4,,
-75.2571602967,40.0461028641,,,Platanus,occidentalis,American sycamore,29,,
-75.2698597838,40.0307802653,,,Platanus,occidentalis,American sycamore,42,,
-75.2568110555,39.9990982499,5,5,Quercus,palustris,Pin oak,28,,
